date,event_name,category,description,,
1/16/2016,Flint Water Crisis,environmental concerns,"President Obama declares a state of emergency in response to the residents of Flint, Michigan not having access to clean water",,
3/29/2016,Opioid Crisis,public health,President Obama declares the opioid epidemic as great a threat as terrorism; creates guidelines to reduce Americans' addictions to painkillers,,
6/12/2016,Pulse Nightclub Shooting,"LGBTQ, gender,  mass shooting","A lone gunman targets a gay nightclub in Orlando, killing 49 people",,
7/1/2016,Black Lives Matter,racial justice,The shootings of Alton Sterling and Philando Castile spark protests against police brutality all over the country,,
11/8/2016,U.S. Presidential Election,electoral politics,Donald Trump v Hillary Clinton; Donald Trump wins presidency,,
1/21/2017,The Women's March,"feminism, gender",Hundreds of thousands of women descend on the National Mall to show resistence to President Trump's agenda and fight for women's rights,,
5/17/2017,Russian Election Interference,"electoral politics, institutional trust",FBI begins investigating Russia's influence in the 2016 presidential election,,
8/11/2017,Confederate Statue Removal,racial justice,"Culture war between the left wanting to remove statues of confederate figures and the right who want to keep the statues; ""Unite the Right""; white nationalist kills a woman and injures 19 others who are protesting",,
8/27/2017,Hurricane Season,environmental concerns; climate change,"Several hurricanes cause major damage to Texas, Florida, and Puerto Rico",,
9/1/2017,"""Fake News""",electoral politics; institutional trust,"Facebook vows to shut down fake accounts to combat fake news posts and sites running rampant on social media, especially during the presidential election, with no fact checking",,
9/24/2017,#TakeAKnee Protests,racial justice ,NFL players get under fire for kneeling during the national anthem to protest against police brutality,,
10/1/2017,#MeToo Movement,"gender, feminism",Women begin speaking up against sexual harassment; originally about Hollywood but spread to other industries,, 
10/1/2017,Las Vegas Shooting,mass shooting,A lone gunman kills 59 people and injures 500 others during a music festival in Las Vegas,,
10/8/2017,California Wildfires,"environmental concerns, climate change","The worst fire season in California's history; at least 44 people killed and 9,000 homes destroyed ",,
1/20/2018,Immigration Crisis,"immigration, foreign policy",Trump administration cracks down on immigration from Mexico and Central America,,
3/24/2018,Gun Control Protests,mass shooting,"Hundreds of thousands of people gather in Washington calling for stricter gun laws after several mass shootings in high schools in Florida and Texas, a bar in California, and a synagogue in Pittsburgh",,
10/7/2018,Climate Change Report,"environmental concerns, climate change",New report claims there's a strong risk of climate crisis as early as 2040,,
10/10/2018,Hurricane Michael,"environmental concerns, climate change","Hurricane passes through Florida, Georgia, North Carolina, and Virginia killing 46 people",,
11/6/2018,Midterm Elections,electoral politics,Record numbers for a midterm election in history; democrats flip the House,,
2/15/2019,Build the Wall,"immigration, foreign policy",Donald Trump declares a national emergency to allocate funds to build a wall on the border with Mexico,,
3/12/2019,College Admissions Scandal,institutional trust,"50 people, including celebrities, are charged with offenses relating to a college admissions cheating/bribery scheme",,
6/30/2019,North Korea Meeting,foreign policy,Donald Trump becomes the first sitting US president to enter North Korea to meet with leader Kim Jong Un,,
7/6/2019,Jeffrey Epstein Arrested,gender,Jeffrey Epstein is arrested and accused of sex trafficking minors,,
8/4/2019,Texas and Ohio Mass Shootings,mass shooting,Two mass shootings one day apart take place in Texas and Ohio; 31 people in total are killed,,
8/7/2019,ICE Raids in Mississippi,immigration,"ICE raids seven Mississippi food processing plants, detaining almost 700 people",,
12/18/2019,Trump Impeachment,electoral politics,Donald Trump becomes the third president to become impeached due to abuse of power and obstruction of Congress,,
2/5/2020,Trump Acquitted,electoral politics,Donald Trump is acquitted on all charges during his impeachment trial ,,
3/13/2020,COVID-19 Pandemic,public health,"State and local governments call for a ""lockdown"" to prevent the spread of COVID-19; pushback against the severity of the virus and the effectiveness of the vaccines",,
5/1/2020,Black Lives Matter 2020,racial justice,The murder of George Floyd sparks another nationwide protests against police brutality,,
9/19/2020,Ruth Bader Ginsburg dies,electoral politics,"Ruth Bader Ginsburg, the longest serving woman pn the US Spreme Court and a strong liberal voice on major issues dies at age 87",,
11/3/2020,U.S. Presidential Election,electoral politics,Joe Biden v Donald Trump; Joe Biden wins presidency,,
